x,y,count,red,blue
1,0.01,3330,1102,2228
1,0.01,6456,3080,3376
1,0.01,5553,1086,4467
1,0.01,8638,4269,4369
1,0.01,5485,4265,1220
1,0.01,6983,4089,2894
1,0.01,4591,3533,1058
1,0.01,3375,443,2932
1,0.01,5490,1935,3555
1,0.01,1186,811,375
1,0.01,7035,3649,3386
1,0.01,2135,1147,988
1,0.01,5204,831,4373
1,0.01,5218,1817,3401
1,0.01,6092,1226,4866
1,0.01,4140,3150,990
1,0.01,4523,2778,1745
1,0.01,2006,1631,375
1,0.01,4670,2708,1962
1,0.01,6467,3918,2549
1,0.01,4467,1050,3417
1,0.01,3119,1142,1977
1,0.01,4717,1365,3352
1,0.01,2968,1118,1850
1,0.01,6761,3340,3421
1,0.01,2501,1688,813
1,0.01,7983,3608,4375
1,0.01,5261,2565,2696
1,0.01,4071,2713,1358
1,0.01,3328,2336,992
1,0.01,4510,3766,744
1,0.01,8207,6449,1758
1,0.01,5720,1186,4534
1,0.01,4220,2466,1754
1,0.01,2858,2007,851
1,0.01,4454,2482,1972
1,0.01,5881,3768,2113
1,0.01,3323,813,2510
1,0.01,4957,2639,2318
1,0.01,4322,3843,479
1,0.01,9314,5911,3403
1,0.01,4808,2485,2323
1,0.01,8099,3901,4198
1,0.01,3385,1360,2025
1,0.01,4912,3220,1692
1,0.01,5336,5146,190
1,0.01,8268,5078,3190
1,0.01,3348,1496,1852
1,0.01,5179,3008,2171
1,0.01,7603,3680,3923
1,0.01,3592,1656,1936
1,0.01,4598,2889,1709
1,0.01,5814,1649,4165
1,0.01,7227,5000,2227
1,0.01,9891,2990,6901
1,0.01,8311,3111,5200
1,0.01,2973,1796,1177
1,0.01,6769,3769,3000
1,0.01,9008,4882,4126
1,0.01,6441,1924,4517
1,0.01,1776,925,851
1,0.01,5825,3281,2544
1,0.01,5223,2078,3145
1,0.01,14056,4953,9103
1,0.01,4995,3538,1457
1,0.01,9106,5489,3617
1,0.01,3351,1706,1645
1,0.01,6770,4445,2325
1,0.01,4511,3574,937
1,0.01,7876,2116,5760
1,0.01,8987,4632,4355
1,0.01,7708,4665,3043
1,0.01,8548,3529,5019
1,0.01,4712,3577,1135
1,0.01,4748,3570,1178
1,0.01,11675,5972,5703
1,0.01,7285,4198,3087
1,0.01,4975,2715,2260
1,0.01,3981,2267,1714
1,0.01,3551,1970,1581
1,0.01,11691,5455,6236
1,0.01,11914,10669,1245
1,0.01,4858,2687,2171
1,0.01,9043,4662,4381
1,0.01,7622,4383,3239
1,0.01,5376,3003,2373
1,0.01,6635,3675,2960
1,0.01,9661,8065,1596
1,0.01,12387,5412,6975
1,0.01,5112,3085,2027
1,0.01,11988,6336,5652
1,0.01,7867,2713,5154
1,0.01,3060,2912,148
1,0.01,10929,5902,5027
1,0.01,7371,5284,2087
1,0.01,9461,1762,7699
1,0.01,10842,5336,5506
1,0.01,4377,725,3652
1,0.01,4169,3289,880
1,0.01,10131,7436,2695
1,0.01,6066,2450,3616
1,0.01,4685,2845,1840
1,0.01,5179,3810,1369
1,0.01,5812,939,4873
1,0.01,7602,3133,4469
1,0.01,475,320,155
1,0.01,6804,3999,2805
1,0.01,7532,3600,3932
1,0.01,5393,2963,2430
1,0.01,6612,1444,5168
1,0.01,11095,5661,5434
1,0.01,10280,5864,4416
1,0.01,11578,4193,7385
1,0.01,11414,9276,2138
1,0.01,4595,523,4072
1,0.01,6791,3692,3099
1,0.01,4638,3570,1068
1,0.01,1204,96,1108
1,0.01,12576,2206,10370
1,0.01,7774,4308,3466
1,0.01,3692,1140,2552
1,0.01,3343,1119,2224
1,0.01,11585,3455,8130
1,0.01,4496,2803,1693
1,0.01,4041,1921,2120
1,0.01,5899,2330,3569
1,0.01,5620,4437,1183
1,0.01,5718,4848,870
1,0.01,7953,1131,6822
1,0.01,7515,5319,2196
1,0.01,5738,409,5329
1,0.01,2414,1607,807
1,0.01,6522,2469,4053
1,0.01,10897,6384,4513
1,0.01,12126,8235,3891
1,0.01,4230,1652,2578
1,0.01,13858,6762,7096
1,0.01,5116,1639,3477
1,0.01,5043,2161,2882
1,0.01,7623,5356,2267
1,0.01,16415,8560,7855
1,0.01,4608,2309,2299
1,0.01,7657,3480,4177
1,0.01,2805,1366,1439
1,0.01,12245,5018,7227
1,0.01,7173,3746,3427
1,0.01,2559,996,1563
1,0.01,4607,1927,2680
1,0.01,6595,2485,4110
1,0.01,4285,2867,1418
1,0.01,7662,5913,1749
1,0.01,6661,1440,5221
1,0.01,11702,8114,3588
1,0.01,3991,2216,1775
1,0.01,8246,3521,4725
1,0.01,13099,5656,7443
1,0.01,7644,5427,2217
1,0.01,3901,2190,1711
1,0.01,7574,2544,5030
1,0.01,6241,1680,4561
1,0.01,5038,1389,3649
1,0.01,7635,5582,2053
1,0.01,4698,2391,2307
1,0.01,7401,3437,3964
1,0.01,9602,4538,5064
1,0.01,5040,2673,2367
1,0.01,4694,1853,2841
1,0.01,7288,5302,1986
1,0.01,6803,2490,4313
1,0.01,7804,4312,3492
1,0.01,10962,5288,5674
1,0.01,6569,2458,4111
1,0.01,2792,1453,1339
1,0.01,5122,2422,2700
1,0.01,4290,2829,1461
1,0.01,4046,1270,2776
1,0.01,8584,6193,2391
1,0.01,10303,6317,3986
1,0.01,7040,2077,4963
1,0.01,9460,3508,5952
