x,y,min_color_similarity,count,mean_group_size,mutants_count,colors_unique
1,0.01,0.0,6571,1.0222464219041694,982,6428
1,0.01,0.0,7779,1.0119682580980878,1178,7687
1,0.01,0.0,7094,1.0137182052014861,1024,6998
1,0.01,0.0,5378,1.0195260663507109,798,5275
1,0.01,0.0,9619,1.0111426469042364,1370,9513
1,0.01,0.0,8455,1.012090016758439,1272,8354
1,0.01,0.0,9268,1.012785487924817,1399,9151
1,0.01,0.0,4479,1.0358464384828863,668,4324
1,0.01,0.0,4744,1.0119453924914676,674,4688
1,0.01,0.0,6694,1.0207380298871607,992,6558
1,0.01,0.0,7620,1.0114149190337138,1183,7534
1,0.01,0.0,11698,1.0115002161694768,1750,11565
1,0.01,0.0,8868,1.009677786633269,1344,8783
1,0.01,0.0,8784,1.0098873304207865,1315,8698
1,0.01,0.0,13230,1.0160509945472698,1919,13021
1,0.01,0.0,9228,1.012064049133582,1383,9118
1,0.01,0.0,3676,1.0107231234533958,531,3637
1,0.01,0.0,980,1.0315789473684212,150,950
1,0.01,0.0,5133,1.0140260766495457,754,5062
1,0.01,0.0,6076,1.0126666666666666,928,6000
1,0.01,0.0,8635,1.0144501879699248,1277,8512
1,0.01,0.0,3368,1.0153753391618934,481,3317
1,0.01,0.0,3558,1.019192208536236,559,3491
1,0.01,0.0,3174,1.02486277042299,507,3097
1,0.01,0.0,4769,1.0146808510638299,717,4700
1,0.01,0.0,9159,1.0092561983471073,1373,9075
1,0.01,0.0,12329,1.015484721192653,1889,12141
1,0.01,0.0,10745,1.0129147812971342,1668,10608
1,0.01,0.0,9639,1.012819165703478,1395,9517
1,0.01,0.0,7373,1.0124965668772314,1095,7282
1,0.01,0.0,5027,1.0108586366378443,770,4973
1,0.01,0.0,5980,1.0089421292390754,916,5927
1,0.01,0.0,8975,1.0113815641199009,1419,8874
1,0.01,0.0,4678,1.0132120424518085,730,4617
1,0.01,0.0,4,2.0,0,2
1,0.01,0.0,3508,1.0100777425856609,509,3473
1,0.01,0.0,3197,1.0263242375601926,456,3115
1,0.01,0.0,10475,1.0108076811734055,1625,10363
1,0.01,0.0,4790,1.018498830533702,731,4703
1,0.01,0.0,9295,1.013963128613505,1405,9167
1,0.01,0.0,14211,1.0125400783754899,2190,14035
1,0.01,0.0,6626,1.0072970507753116,1018,6578
1,0.01,0.0,2062,1.025360517155644,317,2011
1,0.01,0.0,4788,1.010126582278481,710,4740
1,0.01,0.0,3849,1.0118296529968454,561,3804
1,0.01,0.0,10674,1.015314372681442,1568,10513
1,0.01,0.0,4452,1.010211027910143,685,4407
1,0.01,0.0,11254,1.0109593963348904,1736,11132
1,0.01,0.0,11043,1.0137703112090333,1673,10893
1,0.01,0.0,2550,1.0119047619047619,388,2520
1,0.01,0.0,2273,1.020655590480467,348,2227
1,0.01,0.0,2417,1.0202617138032926,378,2369
1,0.01,0.0,7341,1.0128311258278146,1133,7248
1,0.01,0.0,3714,1.0097879282218598,591,3678
1,0.01,0.0,3666,1.0138274336283186,518,3616
1,0.01,0.0,11043,1.0122834356952974,1656,10909
1,0.01,0.0,5545,1.0131554905901698,866,5473
1,0.01,0.0,5010,1.015403323875152,759,4934
1,0.01,0.0,2926,1.01491501907735,451,2883
1,0.01,0.0,6792,1.0120697362539115,1024,6711
1,0.01,0.0,5092,1.0151515151515151,755,5016
1,0.01,0.0,10327,1.0110632465243783,1489,10214
1,0.01,0.0,3364,1.0150875075437538,519,3314
1,0.01,0.0,6373,1.0135178117048347,973,6288
1,0.01,0.0,11534,1.0152275327876068,1723,11361
1,0.01,0.0,7569,1.0108173076923077,1117,7488
1,0.01,0.0,9881,1.010843989769821,1538,9775
1,0.01,0.0,343,1.1245901639344262,53,305
1,0.01,0.0,10312,1.0140623463467402,1521,10169
1,0.01,0.0,7695,1.0101076398004725,1113,7618
1,0.01,0.0,4583,1.00991626267078,663,4538
1,0.01,0.0,8266,1.0097727827999023,1243,8186
1,0.01,0.0,1680,1.0169491525423728,237,1652
1,0.01,0.0,7473,1.0172883201742444,1095,7346
1,0.01,0.0,5054,1.0187462205200564,780,4961
1,0.01,0.0,4211,1.0159227985524728,647,4145
1,0.01,0.0,4868,1.0091210613598673,732,4824
