color,mutant
"(255, 0, 0)",False
"(255, 0, 0)",False
"(255, 0, 0)",False
"(128, 0, 128)",False
"(0, 0, 255)",False
"(128, 0, 128)",False
"(192, 0, 64)",False
"(219, 187, 142)",True
"(128, 0, 128)",False
"(192, 0, 64)",False
"(128, 0, 128)",False
"(112, 0, 144)",False
"(160, 0, 96)",False
"(150, 110, 190)",False
"(160, 0, 96)",False
"(80, 0, 176)",False
"(208, 0, 48)",False
"(176, 75, 203)",True
"(20, 0, 236)",False
"(171, 55, 127)",False
"(224, 0, 32)",False
"(112, 0, 144)",False
"(138, 0, 118)",False
"(179, 55, 119)",False
"(152, 38, 166)",False
"(112, 0, 144)",False
"(128, 0, 128)",False
"(150, 110, 190)",False
"(150, 110, 190)",False
"(144, 0, 112)",False
"(193, 13, 65)",False
"(107, 55, 191)",False
"(192, 0, 64)",False
"(133, 0, 123)",False
"(52, 0, 204)",False
"(5, 201, 206)",True
"(137, 13, 121)",False
"(136, 0, 120)",False
"(176, 0, 80)",False
"(170, 0, 86)",False
"(144, 0, 112)",False
"(144, 0, 112)",False
"(81, 15, 152)",False
"(168, 0, 88)",False
"(173, 0, 83)",False
"(152, 0, 104)",False
"(88, 0, 168)",False
"(120, 155, 159)",True
"(132, 19, 155)",False
"(120, 83, 198)",False
"(108, 78, 160)",False
"(139, 55, 159)",False
"(11, 89, 71)",True
"(194, 26, 66)",False
"(154, 94, 154)",False
"(182, 94, 127)",False
"(87, 85, 137)",True
"(141, 47, 141)",False
"(196, 0, 60)",False
"(98, 0, 158)",False
"(227, 67, 210)",True
"(151, 14, 116)",False
"(148, 0, 108)",False
"(146, 34, 201)",False
"(162, 121, 53)",False
"(208, 83, 110)",False
"(65, 50, 179)",False
"(161, 166, 220)",False
"(98, 36, 182)",False
"(145, 3, 111)",False
"(72, 54, 113)",False
"(205, 225, 5)",True
"(137, 30, 138)",False
"(158, 94, 150)",False
"(100, 42, 187)",False
"(140, 0, 116)",False
"(153, 0, 103)",False
"(122, 28, 156)",False
"(168, 2, 88)",False
"(130, 16, 134)",False
"(122, 27, 98)",False
"(118, 28, 160)",False
"(164, 21, 108)",False
"(140, 56, 102)",False
"(11, 0, 113)",True
"(184, 123, 171)",True
"(157, 14, 110)",False
"(106, 24, 142)",False
"(202, 0, 54)",False
"(129, 0, 127)",False
"(145, 13, 113)",False
"(180, 0, 76)",False
"(150, 28, 128)",False
"(132, 19, 155)",False
"(96, 0, 160)",False
"(189, 62, 215)",True
"(168, 39, 94)",False
"(102, 22, 154)",False
"(64, 144, 35)",True
"(94, 15, 171)",False
"(139, 55, 159)",False
"(156, 3, 100)",False
"(82, 0, 174)",False
"(160, 56, 110)",False
"(96, 0, 160)",False
"(160, 0, 96)",False
"(166, 28, 83)",False
"(146, 133, 162)",False
"(112, 0, 144)",False
"(32, 92, 177)",True
"(8, 49, 108)",True
"(102, 31, 138)",False
"(40, 29, 240)",False
"(145, 60, 90)",False
"(139, 55, 159)",False
"(148, 86, 170)",False
"(148, 130, 82)",False
"(84, 0, 172)",False
"(38, 240, 184)",True
"(79, 47, 202)",False
"(100, 55, 198)",False
"(168, 0, 88)",False
"(148, 44, 109)",False
"(152, 38, 134)",False
"(71, 8, 54)",True
"(177, 13, 81)",False
"(107, 55, 191)",False
"(58, 72, 120)",False
"(172, 0, 84)",False
"(125, 0, 131)",False
"(150, 0, 106)",False
"(146, 112, 146)",False
"(149, 192, 69)",True
"(130, 31, 115)",False
"(108, 42, 168)",False
"(128, 14, 138)",False
"(150, 3, 106)",False
"(150, 64, 150)",False
"(52, 18, 144)",False
"(168, 4, 88)",False
"(137, 17, 164)",False
"(86, 192, 230)",True
"(166, 39, 96)",False
"(31, 158, 26)",True
"(150, 10, 122)",False
"(40, 120, 189)",True
"(96, 47, 120)",False
"(219, 216, 154)",True
"(141, 24, 128)",False
"(134, 16, 149)",False
"(248, 156, 24)",True
"(74, 0, 182)",False
"(132, 34, 150)",False
"(145, 218, 215)",True
"(145, 161, 227)",True
"(149, 0, 107)",False
"(158, 102, 88)",False
"(80, 0, 176)",False
"(139, 0, 117)",False
"(156, 1, 100)",False
"(144, 28, 119)",False
"(186, 170, 109)",True
"(173, 12, 89)",False
"(202, 242, 128)",True
"(147, 96, 182)",False
"(109, 14, 144)",False
"(156, 8, 122)",False
"(42, 25, 208)",False
"(26, 0, 164)",False
"(188, 17, 99)",True
"(74, 54, 200)",False
"(214, 14, 52)",False
"(97, 83, 68)",True
"(178, 241, 181)",True
"(200, 94, 109)",False
"(122, 43, 149)",False
"(145, 38, 128)",False
"(109, 102, 108)",False
"(230, 186, 130)",True
"(120, 90, 146)",False
"(144, 10, 108)",False
"(196, 44, 96)",False
"(174, 126, 62)",False
"(183, 154, 211)",True
"(139, 6, 125)",False
"(143, 0, 113)",False
"(195, 20, 64)",False
"(147, 6, 117)",False
"(93, 50, 152)",False
"(144, 22, 127)",False
"(174, 0, 82)",False
"(162, 77, 95)",False
"(178, 47, 104)",False
"(142, 10, 120)",False
"(175, 55, 123)",False
"(120, 0, 136)",False
"(174, 30, 103)",False
"(40, 0, 216)",False
"(62, 146, 176)",False
"(124, 13, 134)",False
"(109, 28, 152)",False
"(200, 81, 109)",True
"(144, 0, 112)",False
